StudentID,Gender,Year_02,Kinder_Age,Disability,NCCD-Funded,01.SES,02.SES,NumSibling,SiblingOrder,NumAbvYear9,NumAbvDiploma,NumProf,Burt-01-SOY,Burt-01-EOY,Clay-01-SOY,Clay-01-EOY,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year3_Writing_At_Risk,Burt-01-ROC,Clay-01-ROC,TextLevel-01-ROC,TextLevel-02-ROC,TextLevel-01-02-ROC,Year3_Writing_At_Risk_N,Counting-02-ROC,Place Value-02-ROC,Addition and Subtraction-02-ROC,Multiplication and Division-02-ROC,Gender_N,Disability_N
SN35433053,Male,2020,5.5,Disability_Non-disable,0,104,104,3,3,2,1,2,59,73,0,0,16,18,25,25,30,32,20,49,4,5,2,2,2,4,2,2,False,23.73,0.0,56.25,28.0,28.0,0,25.0,0.0,100.0,0.0,1,1
SN71277215,Female,2018,5.8,Disability_Non-disable,0,112,112,2,2,2,2,2,16,29,12,13,8,12,17,19,18,21,40,37,2,1,1,1,2,3,0,2,False,81.25,8.33,112.5,10.53,23.53,0,-50.0,0.0,50.0,2.0,0,1
SN40883127,Male,2021,5.9,Disability_Non-disable,0,120,109,2,2,2,0,0,10,32,4,18,8,12,18,18,23,22,6,30,2,1,1,2,2,1,2,1,False,220.0,350.0,125.0,22.22,22.22,0,-50.0,100.0,-50.0,-50.0,1,1
SN93063777,Male,2021,5.7,Disability_Non-disable,0,95,93,2,1,0,0,0,26,49,0,0,11,16,25,27,26,31,41,30,2,3,1,2,1,5,2,2,False,88.46,0.0,127.27,14.81,24.0,0,50.0,100.0,400.0,0.0,1,1
SN84195329,Male,2021,5.8,Disability_Non-disable,0,98,98,1,1,2,0,0,20,28,10,13,9,12,17,21,24,26,26,32,2,4,2,2,2,4,1,1,True,40.0,30.0,88.89,23.81,52.94,1,100.0,0.0,100.0,0.0,1,1
SN89893958,Female,2016,5.3,Disability_Non-disable,0,104,104,4,3,0,0,0,27,56,0,0,12,11,21,25,28,28,39,40,2,4,2,2,1,2,1,3,True,107.41,0.0,75.0,12.0,33.33,1,100.0,0.0,100.0,200.0,0,1
SN00499342,Male,2020,5.1,Disability_Non-disable,0,110,110,2,1,2,2,2,29,37,0,0,13,18,24,25,25,30,13,51,2,2,1,1,0,2,0,2,False,27.59,0.0,84.62,20.0,25.0,0,0.0,0.0,2.0,2.0,1,1
SN20235426,Female,2020,5.6,Disability_Non-disable,0,109,109,2,1,2,1,1,14,25,4,6,2,12,15,16,11,22,12,28,0,0,1,1,1,1,0,1,False,78.57,50.0,650.0,37.5,46.67,0,0.0,0.0,0.0,1.0,0,1
SN14781526,Female,2016,5.6,Disability_Non-disable,0,120,120,1,1,0,0,0,29,40,0,3,13,18,19,22,27,26,14,39,1,5,1,2,2,2,2,2,False,37.93,3.0,46.15,18.18,36.84,0,400.0,100.0,0.0,0.0,0,1
SN42469492,Female,2020,4.9,Disability_Non-disable,0,107,107,2,2,2,2,0,7,23,0,13,3,12,20,21,23,28,9,16,0,3,1,1,1,1,1,1,True,228.57,13.0,566.67,33.33,40.0,1,3.0,0.0,0.0,0.0,0,1
SN32145676,Male,2017,4.8,Disability_Non-disable,0,116,116,2,2,2,2,2,29,34,0,1,9,12,21,25,28,30,34,34,1,3,1,1,1,2,2,2,False,17.24,1.0,133.33,20.0,42.86,0,200.0,0.0,100.0,0.0,1,1
SN98972493,Male,2018,5.4,Disability_Non-disable,0,120,120,2,2,1,1,1,24,38,1,0,10,16,21,24,22,30,23,37,3,5,1,2,2,4,0,2,False,58.33,-100.0,110.0,25.0,42.86,0,66.67,100.0,100.0,2.0,1,1
SN41045024,Female,2018,5.1,Disability_Non-disable,0,98,98,4,4,1,0,0,12,27,1,15,6,15,16,18,24,24,10,14,0,2,1,1,0,1,0,2,True,125.0,1400.0,166.67,33.33,50.0,1,2.0,0.0,1.0,2.0,0,1
SN18396185,Female,2018,5.0,Disability_Non-disable,0,109,109,2,1,1,0,1,24,38,0,0,17,16,19,24,28,27,14,35,1,1,1,1,1,0,1,1,False,58.33,0.0,11.76,12.5,42.11,0,0.0,0.0,-100.0,0.0,0,1
SN37217849,Female,2018,4.9,Disability_Non-disable,0,90,90,2,2,0,0,0,15,29,0,0,14,15,19,19,21,29,7,34,2,2,1,1,1,1,0,0,False,93.33,0.0,35.71,52.63,52.63,0,0.0,0.0,0.0,0.0,0,1
SN02478780,Female,2020,5.0,Disability_Physical,0,91,91,6,6,2,0,0,14,41,9,12,10,12,21,20,26,30,15,34,2,1,1,1,1,2,1,1,False,192.86,33.33,110.0,50.0,42.86,0,-50.0,0.0,100.0,0.0,0,2
